Inclinometer Kelag KQS901-51Q
Time [ns],rho [mm],phi [mm],z [mm],Along X [mDegree],Along X StdDev [mDegree],Along Y [mDegree],Along Y StdDev [mDegree]
615578991567932,30,0,250,30.752,1.484,-30.2534,1.08445
615582011567594,30,19.9953,250,32.5898,2.13056,-33.2852,1.30049
615585031566368,30,40,250,35.0023,4.04461,-35.9672,3.99192
615588051568982,30,59.9953,250,37.4755,4.66763,-38.59,4.81345
615591071568405,30,80,250,39.857,4.39493,-40.953,2.57235
615594091568199,30,99.9953,250,41.8062,7.92702,-42.9744,4.9583
615597111567981,30,120,250,43.708,11.0758,-45.0717,6.63991
615600131566551,30,139.995,250,45.3678,9.04753,-45.9931,6.27154
615603151566381,30,160,250,46.1374,6.59105,-46.6473,7.11288
615606171568011,30,179.995,250,46.0831,2.51538,-46.4568,3.37778
615609205566315,30,200,250,45.0831,6.57134,-45.4729,2.69393
615612227568934,30,219.995,250,43.2858,5.65753,-43.9359,2.98049
615615247566436,30,240,250,40.6868,5.57759,-41.7512,4.17694
615618267566878,30,259.995,250,37.6146,3.91825,-39.0205,1.66373
615621287566348,30,280,250,34.908,5.64002,-35.7603,4.13749
615624307567270,30,299.995,250,31.6335,8.06179,-32.7026,5.24818
615627327566428,30,320,250,29.2171,6.20737,-30.1999,4.9393
615630347565958,30,339.995,250,28.418,3.8381,-29.1759,4.53319
615633367565848,30,360,250,29.2157,1.55049,-30.1237,2.19525
615659047568844,81.9927,0,250,29.1344,1.5026,-29.0968,1.08237
615662067568338,81.9927,19.9953,250,31.5261,7.08982,-31.9645,4.01518
615665089568197,81.9927,40,250,33.3166,3.19475,-34.051,2.91538
615668109567991,81.9927,59.9953,250,35.504,2.9697,-36.3913,1.80081
615671129566837,81.9927,80,250,38.2843,3.83897,-39.204,3.92279
615674149568287,81.9927,99.9953,250,40.2823,5.21873,-41.3919,3.37636
615677169566269,81.9927,120,250,41.7164,12.4361,-42.8708,10.5113
615680189568571,81.9927,139.995,250,43.8253,6.52311,-44.3103,5.54117
615683209566901,81.9927,160,250,44.1596,5.84469,-44.8264,4.67941
615686229568123,81.9927,179.995,250,44.1039,2.35998,-44.6007,2.56507
615689249566933,81.9927,200,250,43.2034,6.56773,-43.5278,2.89619
615692269566404,81.9927,219.995,250,41.089,4.06748,-41.8937,2.13582
615695289566234,81.9927,240,250,38.8069,2.58382,-39.6299,2.17312
615698309568020,81.9927,259.995,250,35.631,4.51204,-36.8544,3.03205
615701329566206,81.9927,280,250,32.989,4.61176,-33.8659,2.59734
615704349566912,81.9927,299.995,250,29.752,5.29695,-30.5076,3.01511
615707369566478,81.9927,320,250,27.5581,4.27114,-28.2797,3.60888
615710389566380,81.9927,339.995,250,27.0798,2.83948,-27.6032,3.34225
615713409569114,81.9927,360,250,28.2512,1.58383,-28.8406,1.91984
615739085565980,133.995,0,250,26.5005,1.2474,-26.573,0.758292
615742105567658,133.995,19.9953,250,29.1058,3.6763,-29.364,1.84714
615745125567068,133.995,40,250,31.0507,1.72644,-31.5732,1.16417
615748145565938,133.995,59.9953,250,33.2876,2.36694,-34.0098,1.34996
615751165568156,133.995,80,250,35.8735,2.61531,-36.5685,2.26771
615754185568034,133.995,99.9953,250,38.1912,4.56282,-38.9237,5.8357
615757205567144,133.995,120,250,40.0282,7.85926,-40.69,9.27821
615760225568450,133.995,139.995,250,41.701,4.44201,-41.9118,4.94995
615763245568136,133.995,160,250,42.0761,4.35719,-42.5657,4.82905
615766265568134,133.995,179.995,250,41.9747,2.19157,-42.4038,2.47922
615769285568084,133.995,200,250,41.2626,6.49734,-41.2233,3.12814
615772305568370,133.995,219.995,250,38.9365,2.92025,-39.6107,2.01131
615775325568584,133.995,240,250,36.6088,1.85665,-37.2732,1.82201
615778345567898,133.995,259.995,250,33.837,1.9387,-34.5493,1.04009
615781365566517,133.995,280,250,31.3468,2.95236,-31.8687,1.97052
615784385567223,133.995,299.995,250,28.6529,3.28616,-29.1624,1.92646
615787405568145,133.995,320,250,26.308,2.26153,-26.8431,1.73539
615790425569475,133.995,339.995,250,25.4864,1.70914,-25.9225,1.92762
615793445568105,133.995,360,250,26.5396,1.28209,-27.0396,1.28133
615819123568828,185.996,0,250,26.2665,1.45567,-26.5374,0.966276
615822143566534,185.996,19.9953,250,28.4117,9.08768,-28.4528,5.39081
615825163565932,185.996,40,250,29.9513,1.42549,-30.3198,1.1891
615828183567418,185.996,59.9953,250,32.3198,1.59969,-32.7073,1.16924
615831203568400,185.996,80,250,34.8754,2.04927,-35.2352,3.2407
615834223566550,185.996,99.9953,250,37.1421,3.59702,-37.496,5.66648
615837243566260,185.996,120,250,38.8607,5.18486,-39.1479,11.0444
615840263567122,185.996,139.995,250,40.5425,2.14008,-40.6006,4.51526
615843283568872,185.996,160,250,41.0702,2.44791,-41.12,4.76069
615846303569230,185.996,179.995,250,40.8126,2.38542,-40.9953,2.46711
615849323567500,185.996,200,250,40.0909,5.92595,-39.8941,2.47054
615852343567342,185.996,219.995,250,37.7951,3.37051,-38.1756,1.53188
615855363565948,185.996,240,250,35.5873,1.43733,-35.8371,1.32123
615858383567698,185.996,259.995,250,32.6316,2.43857,-32.9033,4.41016
615861403568584,185.996,280,250,30.208,2.00802,-30.4592,2.92624
615864423566542,185.996,299.995,250,27.8112,1.54607,-28.1281,1.11635
615867443567080,185.996,320,250,26.0534,1.04791,-26.3822,1.0832
615870463566454,185.996,339.995,250,25.5289,2.05181,-25.8692,2.15135
615873483567088,185.996,360,250,26.594,2.34444,-26.9356,1.4544
615899161568183,237.998,0,250,33.2013,0.893374,-33.6274,0.664089
615902181568757,237.998,19.9953,250,36.4868,9.24789,-36.1001,4.64185
615905201566271,237.998,40,250,37.889,1.94092,-37.9971,1.29239
615908221568142,237.998,59.9953,250,40.4278,1.42083,-40.36,1.19574
