Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bx [nT],BxStdDev [nT],By [nT],ByStdDev [nT],Bz [nT],BzStdDev [nT]
1222905116521814,0,0,0,283.425,0.0412428,71.2546,0.0471091,-117.066,0.0462545
1222909120521628,0,0,0,283.432,0.0325855,71.2848,0.045585,-117.027,0.0560856
1222913122523261,0,0,0,283.492,0.0381449,71.2881,0.0546904,-117.064,0.0618016
1222917124521522,0,0,0,283.495,0.0380108,71.269,0.0457679,-117.075,0.0547691
1222921126522891,0,0,0,283.462,0.0520157,71.3152,0.0478394,-117.045,0.0505989
1222925128520984,0,0,0,283.417,0.0396068,71.2955,0.0564584,-117.022,0.0561892
1222929130522077,0,0,0,283.405,0.0434196,71.2969,0.0478575,-116.913,0.0485872
1222933132523410,0,0,0,283.367,0.0473637,71.3433,0.0524177,-116.975,0.0587965
1222937134521611,0,0,0,283.356,0.0350753,71.3665,0.0509279,-116.972,0.0619187
1222941138523825,0,0,0,283.347,0.035407,71.3712,0.0680751,-116.979,0.0596671
1222945140521702,0,0,0,283.35,0.0462882,71.2928,0.0469654,-116.947,0.0586446
1222949142521223,0,0,0,283.304,0.0470778,71.3532,0.0527853,-116.968,0.0472449
1222953144521308,0,0,0,283.243,0.0429342,71.3017,0.0499983,-116.884,0.0629916
1222957146521237,0,0,0,283.254,0.0339684,71.2501,0.0474367,-116.92,0.0513366
1222961148524358,0,0,0,283.23,0.0405071,71.2894,0.0694061,-116.908,0.0506783
1222965150523471,0,0,0,283.22,0.0408215,71.2397,0.0532735,-116.899,0.0603752
1222969152524000,0,0,0,283.226,0.0455666,71.2341,0.0553538,-116.877,0.0585101
1222973154523905,0,0,0,283.281,0.0410827,71.2347,0.051595,-116.926,0.0616774
1222977158523263,0,0,0,283.266,0.0424254,71.2147,0.0513701,-116.891,0.0462192
1222981160523588,0,0,0,283.26,0.0404651,71.262,0.0529647,-116.889,0.054563
1222985162522473,0,0,0,283.259,0.0422645,71.3036,0.048722,-116.888,0.0487653
1222989164524250,0,0,0,283.237,0.0435258,71.2678,0.0424715,-116.925,0.0628898
1222993166521551,0,0,0,283.269,0.0333463,71.2838,0.0546619,-116.906,0.0627048
1222997168522872,0,0,0,283.214,0.0416513,71.2849,0.0505011,-116.952,0.0547172
1223001170521313,0,0,0,283.251,0.0369243,71.2632,0.0576115,-117.049,0.0532925
1223005174523143,0,0,0,283.283,0.0335651,71.2651,0.0488805,-117.064,0.0514115
1223009178522897,0,0,0,283.228,0.0347635,71.336,0.0460963,-116.989,0.0498653
1223013180521806,0,0,0,283.204,0.0373118,71.2273,0.0561408,-116.995,0.0585835
1223017182521159,0,0,0,283.15,0.0410265,71.2244,0.0489103,-116.94,0.060421
1223021184522684,0,0,0,283.134,0.0406171,71.2808,0.0396202,-116.907,0.057788
1223025186521725,0,0,0,283.143,0.0352477,71.2544,0.0488184,-116.874,0.0522135
1223029190522343,0,0,0,283.112,0.0389193,71.1615,0.0675897,-116.872,0.048548
1223033194522961,0,0,0,283.128,0.0350612,71.1774,0.0554945,-116.846,0.0575267
1223037198521347,0,0,0,283.1,0.0333037,71.3113,0.0482217,-116.894,0.0537038
1223041202523465,0,0,0,283.027,0.043601,71.2165,0.0514688,-116.837,0.0559102
1223045206523195,0,0,0,283.058,0.0475679,71.2219,0.0564645,-116.849,0.049407
1223049208523856,0,0,0,283.081,0.03089,71.1691,0.0643332,-116.884,0.0518637
1223053210523881,0,0,0,283.104,0.0379243,71.191,0.0664497,-116.879,0.0572441
1223057212522682,0,0,0,283.08,0.0435261,71.2262,0.0481019,-116.825,0.055119
1223061216522100,0,0,0,283.023,0.0400745,71.2373,0.0519387,-116.896,0.0568357
1223065220523330,0,0,0,283.026,0.0427919,71.2119,0.0674884,-116.867,0.0621971
1223069224524284,0,0,0,283.004,0.0443404,71.1903,0.0511314,-116.923,0.0587794
1223073228523894,0,0,0,282.975,0.0361783,71.1752,0.0498937,-116.919,0.0520077
1223077230523607,0,0,0,282.976,0.0386526,71.209,0.0498767,-116.912,0.0503521
1223081234523073,0,0,0,282.984,0.0349971,71.1945,0.075912,-116.925,0.0483271
1223085238522407,0,0,0,282.986,0.032113,71.2116,0.0603237,-116.851,0.0529291
1223089242521369,0,0,0,282.985,0.0322057,71.2397,0.0490421,-116.886,0.0518577
1223093246521747,0,0,0,282.979,0.0417572,71.2345,0.0441205,-116.893,0.0467803
1223097250523420,0,0,0,282.94,0.0464516,71.1681,0.0449335,-116.855,0.0488173
1223101254522622,0,0,0,282.876,0.0376321,71.233,0.0515854,-116.938,0.0480458
1223105258523336,0,0,0,282.944,0.0353509,71.2514,0.0490508,-116.95,0.0471447
1223109262521506,0,0,0,282.949,0.0388893,71.2997,0.0521461,-116.929,0.0515647
1223113266521776,0,0,0,282.913,0.0369427,71.2038,0.0516601,-116.896,0.0470261
1223117270522778,0,0,0,282.964,0.0406844,71.2471,0.0497177,-116.873,0.052689
1223121274522904,0,0,0,282.966,0.0382338,71.2109,0.0545596,-116.889,0.0473438
1223125278522922,0,0,0,283.01,0.0390792,71.2206,0.0590811,-116.868,0.0504563
1223129282522856,0,0,0,283.029,0.0332604,71.2501,0.0531735,-116.874,0.0590937
1223133286521902,0,0,0,282.979,0.0387656,71.1952,0.0569667,-116.897,0.0502589
1223137290521284,0,0,0,282.921,0.0358391,71.2246,0.0572693,-116.966,0.0471256
1223141294521266,0,0,0,282.914,0.0337667,71.2589,0.0505146,-116.964,0.055717
1223145298524344,0,0,0,282.962,0.0430181,71.2248,0.0490816,-116.88,0.0781392
1223149302524073,0,0,0,282.927,0.0456248,71.2326,0.0595754,-116.886,0.0500505
1223153306521451,0,0,0,282.928,0.0423,71.3393,0.0546973,-116.856,0.0512115
1223157310521361,0,0,0,282.927,0.0452619,71.2598,0.0426913,-116.846,0.0567497
1223161314523359,0,0,0,282.913,0.0374061,71.2506,0.0494684,-116.769,0.0528055
1223165318524037,0,0,0,282.93,0.0386455,71.2209,0.0488628,-116.829,0.0464044
1223169322521643,0,0,0,282.908,0.0490709,71.2265,0.0472018,-116.866,0.0506361
1223173326521229,0,0,0,282.907,0.0397946,71.2796,0.0612926,-116.838,0.0526318
1223177330522147,0,0,0,282.937,0.0350844,71.2526,0.0481062,-116.858,0.0432819
1223181334521721,0,0,0,282.856,0.0406439,71.3226,0.0641998,-116.822,0.0511125
1223185338521535,0,0,0,282.887,0.0299365,71.2663,0.0525785,-116.83,0.0507859
1223189342523185,0,0,0,282.896,0.038989,71.2756,0.0436188,-116.862,0.0553691
1223193346522243,0,0,0,282.859,0.0356998,71.2766,0.0502637,-116.869,0.0683162
1223197350521325,0,0,0,282.839,0.038678,71.2904,0.0481935,-116.846,0.0442079
1223201354524163,0,0,0,282.811,0.0395568,71.3117,0.0419838,-116.813,0.0491942
1223205356524056,0,0,0,282.868,0.038241,71.3069,0.0462608,-116.83,0.0479563
1223209358522005,0,0,0,282.837,0.0370372,71.3162,0.0491062,-116.839,0.0547987
1223213362521699,0,0,0,282.819,0.035049,71.2985,0.0434236,-116.822,0.0455679
1223217366524428,0,0,0,282.84,0.0322042,71.2917,0.0560567,-116.837,0.0611104
1223221370524050,0,0,0,282.799,0.0477898,71.3556,0.0380675,-116.859,0.0571276
1223225374521368,0,0,0,282.753,0.044956,71.3354,0.0467672,-116.904,0.055948
1223229378521614,0,0,0,282.779,0.0361578,71.3128,0.0471273,-116.88,0.0501776
1223233382521500,0,0,0,282.758,0.0352546,71.2929,0.0454124,-116.887,0.0549989
1223237386521542,0,0,0,282.767,0.0374845,71.3441,0.0414119,-116.856,0.048569
1223241390522328,0,0,0,282.745,0.0348949,71.3182,0.0527636,-116.837,0.0503248
1223245392521765,0,0,0,282.673,0.0444937,71.3197,0.0474447,-116.888,0.0454985
1223249394522966,0,0,0,282.719,0.0498321,71.3719,0.0525715,-116.853,0.0549124
1223253398521856,0,0,0,282.7,0.039974,71.4095,0.0459067,-116.839,0.062037
1223257400522781,0,0,0,282.662,0.0337274,71.4404,0.0400726,-116.838,0.0524033
1223261402522134,0,0,0,282.688,0.0376621,71.428,0.049102,-116.79,0.0471332
1223265404522795,0,0,0,282.64,0.0402215,71.3472,0.0470926,-116.765,0.062537
1223269408523521,0,0,0,282.629,0.0302594,71.3708,0.0495327,-116.775,0.0619618
1223273410524146,0,0,0,282.648,0.0421418,71.4082,0.0522006,-116.777,0.0559535
1223277414524188,0,0,0,282.633,0.0363062,71.3286,0.0485362,-116.742,0.0585824
