Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
37995219026448,0,0,575,-8.56051,0.0408027,-3.22768,0.0522646,-9.69235,0.0409453
37999639025889,0,9.99298,575,-8.76299,0.0368022,-3.25475,0.0423133,-9.63649,0.0535278
38004059023458,0,19.9953,575,-8.9926,0.0398913,-3.29228,0.0420167,-9.67624,0.0409148
38008479025923,0,29.9977,575,-9.20763,0.0376101,-3.22114,0.0598478,-9.65147,0.0461678
38012899023528,0,40,575,-9.42245,0.0352795,-3.20346,0.0521815,-9.75464,0.0447442
38017319025909,0,49.993,575,-9.64664,0.0432561,-3.20846,0.0479746,-9.88176,0.0449752
38021739024366,0,59.9953,575,-9.82785,0.0317942,-3.28014,0.0487935,-10.0223,0.0439617
38026159023831,0,69.9977,575,-9.91766,0.0406761,-3.28411,0.0673882,-10.1836,0.0448018
38030579024232,0,80,575,-10.0188,0.0404464,-3.21944,0.0586754,-10.3726,0.0451148
38034999025269,0,89.993,575,-10.1235,0.0376761,-3.29197,0.0493289,-10.6096,0.055363
38039419023174,0,99.9953,575,-10.1097,0.0419277,-3.28121,0.0545338,-10.8241,0.0503841
38043839023348,0,109.998,575,-10.0898,0.0427642,-3.21492,0.0458345,-11.0322,0.056534
38048259025249,0,120,575,-10.0102,0.030764,-3.22494,0.0404746,-11.2355,0.0521411
38052679025302,0,129.993,575,-9.9804,0.0374543,-3.22471,0.0369961,-11.4652,0.0471968
38057099023471,0,139.995,575,-9.8357,0.0383929,-3.2819,0.0598311,-11.6176,0.0491207
38061519024436,0,149.998,575,-9.67722,0.0417189,-3.3014,0.052709,-11.7416,0.0479433
38065939025833,0,160,575,-9.46775,0.0394951,-3.23257,0.0507367,-11.9157,0.0465103
38070359026018,0,169.993,575,-9.28512,0.037962,-3.24878,0.0459595,-12.0046,0.0514933
38074779023143,0,179.995,575,-9.07831,0.0399703,-3.22307,0.0398299,-12.0568,0.0427848
38079199024360,0,189.998,575,-8.91325,0.0389332,-3.28541,0.0537124,-12.0606,0.055601
38083619025121,0,200,575,-8.68496,0.0394571,-3.24135,0.0451395,-12.0597,0.0486926
38088039026206,0,209.993,575,-8.51477,0.0377824,-3.25727,0.0584089,-11.961,0.0545528
38092459025803,0,219.995,575,-8.28888,0.0356045,-3.21945,0.0511022,-11.9379,0.0456615
38096879025664,0,229.998,575,-8.1721,0.0420502,-3.19482,0.0445343,-11.8111,0.0492435
38101299023389,0,240,575,-8.00647,0.0369374,-3.24186,0.0540708,-11.6566,0.0545873
38105719023634,0,249.993,575,-7.86776,0.0407343,-3.25663,0.0473498,-11.491,0.0591814
38110139024359,0,259.995,575,-7.75863,0.0467727,-3.27063,0.042846,-11.3044,0.0653758
38114559023464,0,269.998,575,-7.72944,0.0354161,-3.26975,0.0399876,-11.1672,0.0454153
38118979025581,0,280,575,-7.69911,0.0377479,-3.22283,0.0412263,-10.9208,0.0435719
38123399024447,0,289.993,575,-7.70095,0.0411541,-3.31725,0.0507619,-10.7086,0.0482955
38127819023660,0,299.995,575,-7.74816,0.0356111,-3.23468,0.0483499,-10.5273,0.0407772
38132239025249,0,309.998,575,-7.74549,0.0354923,-3.24409,0.0486535,-10.3088,0.0503186
38136659025506,0,320,575,-7.86571,0.0389469,-3.29965,0.04389,-10.1791,0.0470434
38141079023675,0,329.993,575,-7.985,0.0365883,-3.24441,0.0485527,-10.0169,0.0485247
38145499024856,0,339.995,575,-8.1676,0.0340845,-3.28196,0.0509302,-9.89439,0.0512103
38149919024789,0,349.998,575,-8.33669,0.0383224,-3.34077,0.0487027,-9.75926,0.0528222
38154339023726,0,360,575,-8.53698,0.0430054,-3.35638,0.0507166,-9.73696,0.0489108
38182019022754,0,0,575,-8.507,0.0419095,-3.22792,0.0471306,-9.67776,0.0628201
38219919025730,500,0,575,-9.22511,0.0413695,-3.38291,0.055293,-9.69522,0.0471809
38224339025051,500,9.99298,575,-9.37608,0.0393788,-3.3622,0.0531696,-9.98118,0.0532841
38228759026028,500,19.9953,575,-9.42886,0.0378731,-3.34506,0.0516323,-10.1749,0.051763
38233179022985,500,29.9977,575,-9.38881,0.0405193,-3.30301,0.0502448,-10.3847,0.0480029
38237599022966,500,40,575,-9.28898,0.039401,-3.27366,0.0463704,-10.5119,0.0434898
38242019024855,500,49.993,575,-9.16725,0.0411199,-3.28865,0.0471874,-10.5317,0.0528153
38246439025988,500,59.9953,575,-9.14256,0.0374724,-3.25502,0.0422682,-10.4673,0.0558939
38250859024037,500,69.9977,575,-9.09966,0.0397432,-3.20263,0.0543032,-10.4101,0.0433479
38255279025782,500,80,575,-9.10525,0.0373812,-3.19934,0.050596,-10.327,0.0497109
38259699023867,500,89.993,575,-9.19959,0.0372643,-3.21778,0.0481421,-10.2171,0.0460035
38264119024772,500,99.9953,575,-9.38217,0.0392348,-3.22556,0.0586676,-10.2533,0.0602494
38268539026062,500,109.998,575,-9.58719,0.0362977,-3.19628,0.0443013,-10.3274,0.0459723
38272959024663,500,120,575,-9.76379,0.0396895,-3.21302,0.0496074,-10.3714,0.0469807
38277379025160,500,129.993,575,-9.95926,0.041366,-3.1136,0.0424031,-10.618,0.0525861
38281799024385,500,139.995,575,-10.0734,0.0371367,-3.11739,0.0525093,-10.8368,0.0506482
38286219025446,500,149.998,575,-10.122,0.0380293,-3.06306,0.0403099,-11.1514,0.0447413
38290639023987,500,160,575,-10.107,0.0377805,-3.04741,0.0681649,-11.5018,0.0512296
38295059024760,500,169.993,575,-9.91216,0.0378274,-3.04004,0.0487537,-11.892,0.0560346
38299479023253,500,179.995,575,-9.66393,0.0512786,-3.06571,0.0586839,-12.1454,0.0483824
38303899025346,500,189.998,575,-9.35615,0.0439489,-3.10464,0.0432131,-12.4657,0.044756
38308319025135,500,200,575,-8.91707,0.0384835,-3.11679,0.0460417,-12.5953,0.0386023
38312739024876,500,209.993,575,-8.46409,0.0380186,-3.16169,0.0412888,-12.5989,0.0502965
38317159022853,500,219.995,575,-8.06357,0.0398117,-3.13279,0.0556906,-12.5237,0.0464389
38321579022846,500,229.998,575,-7.69629,0.0376556,-3.12739,0.0512544,-12.3337,0.0506863
38325999025131,500,240,575,-7.32929,0.0419996,-3.24077,0.0464732,-12.0274,0.0537069
38330419023636,500,249.993,575,-7.15568,0.0339783,-3.21604,0.0485075,-11.6154,0.0438671
38334839023185,500,259.995,575,-7.08167,0.0381174,-3.13202,0.0563457,-11.2033,0.0555765
38339259024150,500,269.998,575,-7.03311,0.0409137,-3.09877,0.0468551,-10.865,0.0407436
38343679025367,500,280,575,-7.05406,0.036338,-3.19273,0.0568116,-10.5799,0.0515381
38348099022865,500,289.993,575,-7.15598,0.0337895,-3.16226,0.0506924,-10.1877,0.0497348
38352519026062,500,299.995,575,-7.32163,0.0388234,-3.1624,0.0571195,-9.9041,0.0469097
38356939023847,500,309.998,575,-7.61257,0.0460907,-3.24924,0.0568749,-9.59545,0.0465252
38361359024092,500,320,575,-7.93156,0.0373581,-3.24098,0.0505436,-9.40174,0.0499203
38365779024157,500,329.993,575,-8.2438,0.0424674,-3.27785,0.0440504,-9.24644,0.0475076
38370199025506,500,339.995,575,-8.57662,0.0363119,-3.33982,0.0459519,-9.27641,0.0493384
38374619023903,500,349.998,575,-8.95415,0.0447662,-3.35027,0.0422978,-9.42229,0.048558
38379039023284,500,360,575,-9.21635,0.044311,-3.37247,0.0558013,-9.6163,0.0496092
38406719022852,500,0,575,-9.23117,0.0453169,-3.3635,0.0430086,-9.68195,0.0468665
38427985023411,756.993,0,575,-9.61217,0.034893,-3.36475,0.049716,-9.67886,0.067892
38432405022972,756.993,9.99298,575,-9.84963,0.0296565,-3.35615,0.0525602,-9.85866,0.0584861
38436825025486,756.993,19.9953,575,-9.92824,0.0336451,-3.28858,0.0545063,-10.5758,0.0464092
38441245024639,756.993,29.9977,575,-9.51706,0.0378532,-3.1992,0.0501357,-10.9641,0.0454958
38445665024008,756.993,40,575,-9.19284,0.0343194,-3.16638,0.0439488,-10.9979,0.0534582
38450085023413,756.993,49.993,575,-8.92078,0.0373422,-3.12612,0.0405212,-10.9371,0.0442782
38454505024882,756.993,59.9953,575,-8.78749,0.0322229,-3.06527,0.0499644,-10.6778,0.0420457
38458925025895,756.993,69.9977,575,-8.7098,0.0385793,-3.17356,0.0533231,-10.5207,0.0481444
38463345024004,756.993,80,575,-8.68551,0.0392821,-3.20056,0.042226,-10.2695,0.0413762
38467765023601,756.993,89.993,575,-8.83863,0.0345458,-3.19002,0.0560849,-9.9771,0.056051
38472185024626,756.993,99.9953,575,-9.06038,0.0369294,-3.12204,0.0564543,-9.72928,0.0438284
38476605025879,756.993,109.998,575,-9.39699,0.037183,-3.09288,0.0491256,-9.68767,0.041681
38481025023484,756.993,120,575,-9.77715,0.0371975,-3.06796,0.0525638,-9.82994,0.0481913
38485445022973,756.993,129.993,575,-10.0164,0.032701,-3.00052,0.0423692,-10.135,0.0477338
