Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
1644713669625960,0,0,0,1000,0,-479.627,0.0336893,-62.3044,0.0980477
1644713871624034,0,0,0,1000,0,-479.659,0.0587654,-62.4066,0.0261187
1644714073624027,0,0,0,1000,0,-479.637,0.0271457,-62.4071,0.0301334
1644714275622917,0,0,0,1000,0,-479.643,0.040779,-62.3813,0.0318696
1644714477627278,0,0,0,1000,0,-479.661,0.060261,-62.2087,0.128013
1644714679624428,0,0,0,-183.218,348.911,-510.743,8.93428,-40.3786,6.26529
1644714881624372,0,0,0,-308.899,0.0368791,-513.97,0.0429092,-38.1576,0.102026
1644715083622914,0,0,0,-308.92,0.0182159,-513.971,0.0413771,-38.109,0.0730681
1644715285626027,0,0,0,-308.908,0.0328676,-513.988,0.04446,-38.4374,0.061654
1644715487623572,0,0,0,-308.899,0.0306225,-514.032,0.0250678,-38.394,0.0403909
1644715689623974,0,0,0,-308.881,0.031921,-514.022,0.0376313,-38.4236,0.0370827
1644715891623835,0,0,0,-308.901,0.0373047,-514.031,0.0451942,-38.28,0.12438
1644716093625257,0,0,0,-308.881,0.0283973,-514.007,0.0349217,-38.3194,0.145669
1644716295623474,0,0,0,-308.907,0.0341578,-513.962,0.0458566,-38.3542,0.0348052
1644716497623408,0,0,0,-308.858,0.0315711,-513.984,0.033095,-38.3549,0.036332
1644716699625837,0,0,0,-308.903,0.0347505,-514.014,0.0209077,-38.3928,0.0196357
1644716901625471,0,0,0,-308.872,0.0287522,-513.997,0.0214969,-38.3838,0.0346195
1644717103623195,0,0,0,384.631,631.944,-495.863,16.5774,-51.0477,11.5673
1644717305624569,0,0,0,1000,0,-479.654,0.0199223,-62.3546,0.0361857
1644717507623842,0,0,0,1000,0,-479.594,0.0215902,-62.41,0.0344916
1644717709625527,0,0,0,1000,0,-479.606,0.0369085,-62.3985,0.0498699
1644717911622749,0,0,0,1000,0,-479.639,0.0268025,-62.3736,0.0587083
1644718113624602,0,0,0,1000,0,-479.643,0.0417535,-62.3516,0.0587849
1644718315623504,0,0,0,1000,0,-479.65,0.0352293,-62.405,0.0325451
1644718517624625,0,0,0,1000,0,-479.663,0.0397068,-62.365,0.0339903
1644718719623503,0,0,0,1000,0,-479.631,0.0362902,-62.4239,0.0448061
1644718921623808,0,0,0,1000,0,-479.713,0.0422592,-62.3827,0.0398506
1644719123622662,0,0,0,1000,0,-479.675,0.0420355,-62.4101,0.0415596
1644719325624131,0,0,0,1000,0,-479.661,0.0360343,-62.4012,0.0430117
1644719527623296,0,0,0,811.56,429.143,-484.703,11.3242,-58.9067,7.90122
1644719729625917,0,0,0,-308.778,0.0338496,-513.981,0.0434481,-38.4104,0.0260498
1644719931623342,0,0,0,-308.849,0.0239387,-513.983,0.0519599,-38.1898,0.128338
1644720133622904,0,0,0,-308.802,0.0455111,-514.015,0.0294428,-38.2839,0.119697
1644720335623365,0,0,0,-308.843,0.0372241,-514.037,0.0459677,-38.3217,0.0458573
1644720537624199,0,0,0,-308.879,0.0322624,-513.976,0.0179106,-38.3146,0.0684466
