Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
426250679437535,0,249.993,150,-9.0692,0.0334427,-3.43585,0.0505235,-10.1279,0.0546255
426257715439372,50,249.993,150,-9.01659,0.0330413,-3.51052,0.0496012,-10.108,0.0543329
426264751436374,100,249.993,150,-8.96239,0.0360574,-3.64149,0.0522831,-10.1316,0.0513752
426271787439280,150,249.993,150,-8.87103,0.035259,-3.76544,0.0446145,-10.1818,0.0533366
426278823439714,200,249.993,150,-8.84854,0.0358013,-3.923,0.0466496,-10.228,0.0577095
426285859437544,250,249.993,150,-8.76167,0.0472934,-4.04216,0.0446322,-10.349,0.0598297
426292895439670,300,249.993,150,-8.74024,0.0412877,-4.04054,0.0438825,-10.5233,0.0472818
426299931437116,350,249.993,150,-8.68988,0.0373531,-4.13055,0.0542412,-10.652,0.0504907
426306967439662,400,249.993,150,-8.73146,0.0362258,-3.96798,0.0465205,-10.9073,0.0568456
426314003510703,450,249.993,150,-8.71514,0.032815,-3.84602,0.0594711,-11.0641,0.059536
426321039438262,500,249.993,150,-8.77573,0.0386014,-3.68044,0.0644184,-11.1239,0.0505983
426328075436631,550,249.993,150,-8.78398,0.0358538,-3.54008,0.0484154,-11.0962,0.0587067
426335111437533,600,249.993,150,-8.78007,0.0346067,-3.42817,0.0576,-11.0299,0.0435991
426342147438591,650,249.993,150,-8.76583,0.0438589,-3.32808,0.051547,-10.9388,0.0600717
426349183439337,700,249.993,150,-8.68047,0.0517198,-3.1787,0.0444204,-10.9334,0.047857
426356219439651,750,249.993,150,-8.64816,0.0341552,-3.17297,0.0467113,-10.8722,0.048165
426356219439651,750,249.993,150,-8.64816,0.0341552,-3.17297,0.0467113,-10.8722,0.048165

Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
426458013436668,0,259.995,150,-9.0902,0.0391617,-3.44675,0.0512251,-9.93578,0.051345
426465049439442,50,259.995,150,-9.01197,0.0395206,-3.44741,0.0419292,-9.94774,0.0498082
426472085438292,100,259.995,150,-9.005,0.0353518,-3.54029,0.0504762,-9.9886,0.0635393
426479121438689,150,259.995,150,-8.93766,0.033147,-3.73978,0.0420892,-10.0379,0.0513403
426486157439687,200,259.995,150,-8.95639,0.0400788,-3.90425,0.0565248,-10.103,0.0514363
426493193436461,250,259.995,150,-8.95551,0.0442981,-4.14056,0.0506261,-10.2482,0.0596181
426500229436739,300,259.995,150,-8.94703,0.0339792,-4.14242,0.0463546,-10.3968,0.0555448
426507265437413,350,259.995,150,-8.96236,0.0363109,-4.1603,0.0381546,-10.5529,0.0484146
426514301436323,400,259.995,150,-9.02794,0.0378768,-4.0675,0.0432344,-10.7525,0.0499813
426521337436613,450,259.995,150,-9.04833,0.0349637,-3.78698,0.0407899,-10.9045,0.0535525
426528373437815,500,259.995,150,-9.09229,0.0419528,-3.53634,0.0535511,-10.9505,0.0636635
426535409436941,550,259.995,150,-9.11539,0.0327275,-3.33628,0.0446187,-10.9504,0.0534496
426535409436941,550,259.995,150,-9.11539,0.0327275,-3.33628,0.0446187,-10.9504,0.0534496


Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
426596333439033,500,259.995,150,-9.07872,0.0350681,-3.5532,0.0494175,-11.0339,0.0595319
426603369437943,550,259.995,150,-9.0343,0.0350706,-3.3708,0.0562289,-11.0009,0.0553443
426610405438413,600,259.995,150,-8.99425,0.0321915,-3.20374,0.0488153,-10.9187,0.055459
426617441438463,650,259.995,150,-8.92084,0.0341201,-3.07695,0.0468878,-10.7078,0.053693
426624477439173,700,259.995,150,-8.86556,0.0382071,-2.94794,0.0454778,-10.6371,0.0564401
426631511436991,750,259.995,150,-8.73714,0.0371553,-2.92703,0.0484703,-10.5074,0.0454952
426686651436541,0,269.998,150,-9.15498,0.0436214,-3.35306,0.0444368,-10.0854,0.0493014
426693687437851,50,269.998,150,-9.12332,0.0459109,-3.47216,0.0519179,-10.0222,0.0618238
426700723437157,100,269.998,150,-9.08164,0.0345124,-3.56092,0.0474662,-10.01,0.0532222
426700723437157,100,269.998,150,-9.08164,0.0345124,-3.56092,0.0474662,-10.01,0.0532222

Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
426719837438986,100,269.998,150,-9.07955,0.0366825,-3.54466,0.0477385,-10.0029,0.0526286
426726873436756,150,269.998,150,-9.06381,0.0305758,-3.6829,0.0430777,-10.0635,0.0557975
426733909437790,200,269.998,150,-9.06227,0.045633,-3.87627,0.0496135,-10.0987,0.0622592
426740945436508,250,269.998,150,-9.09159,0.0319005,-3.98619,0.0540451,-10.2857,0.0500713
426747981439402,300,269.998,150,-9.1089,0.0393692,-4.04288,0.058615,-10.4523,0.0513215
426755017437160,350,269.998,150,-9.19392,0.0392892,-3.99392,0.0485983,-10.6809,0.0425985
426762053438302,400,269.998,150,-9.24056,0.0330974,-3.80066,0.0468429,-10.9583,0.0514522
426769089439672,450,269.998,150,-9.36956,0.0323057,-3.41612,0.0578633,-11.1269,0.0497857
426776125438689,500,269.998,150,-9.37408,0.0417135,-3.13497,0.0497345,-11.0308,0.0512707
426783161438043,550,269.998,150,-9.28564,0.0406741,-2.89024,0.0462882,-10.885,0.0534077
426790197437973,600,269.998,150,-9.1692,0.0332301,-2.67151,0.057156,-10.7045,0.0438004
426797233437387,650,269.998,150,-9.05783,0.0370385,-2.73325,0.043862,-10.5294,0.0455331
426804269437665,700,269.998,150,-8.97827,0.0368485,-2.74578,0.0499986,-10.4595,0.0495852
426811305439443,750,269.998,150,-8.89239,0.0445528,-2.83604,0.0482218,-10.3628,0.049806
426811305439443,750,269.998,150,-8.89239,0.0445528,-2.83604,0.0482218,-10.3628,0.049806

Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
426925261436403,0,274.994,150,-9.12017,0.0291455,-3.43632,0.0610862,-9.98892,0.0492822
426932297437076,50,274.994,150,-9.1412,0.0341274,-3.50244,0.0493573,-10.0106,0.052935
426939333436262,100,274.994,150,-9.07343,0.0437307,-3.54598,0.0513112,-9.93555,0.0459781
426946369436396,150,274.994,150,-9.06203,0.0365972,-3.73941,0.0556762,-9.97623,0.053458
426953405439170,200,274.994,150,-9.06694,0.0332902,-3.86312,0.0394191,-10.0505,0.0477654
426960441439088,250,274.994,150,-9.07268,0.0350857,-3.8936,0.0483382,-10.2039,0.0569847
426967477437026,300,274.994,150,-9.19324,0.0308206,-3.97601,0.0478244,-10.4802,0.0390924
426974513436644,350,274.994,150,-9.28087,0.0471891,-3.78812,0.0447473,-10.713,0.0628214
426981549439682,400,274.994,150,-9.35946,0.0339644,-3.48585,0.0415598,-10.9228,0.0536202

Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
427030761437907,400,274.994,150,-9.25061,0.0307216,-3.38098,0.049799,-10.9392,0.0557741
427037797438101,450,274.994,150,-9.29136,0.0363271,-2.93549,0.0565166,-11.0793,0.0562957
427044833436639,500,274.994,150,-9.22787,0.0350419,-2.57945,0.0410213,-10.9724,0.0560638
427044833436639,500,274.994,150,-9.22787,0.0350419,-2.57945,0.0410213,-10.9724,0.0560638

Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
427081129438347,550,274.994,150,-9.19227,0.0461793,-2.44067,0.0513097,-10.7444,0.0691737
427088165439093,600,274.994,150,-9.04862,0.0378605,-2.42165,0.0487016,-10.5399,0.0591757
427095201437583,650,274.994,150,-8.90307,0.0437826,-2.46557,0.0517963,-10.3688,0.0614713
427102237437597,700,274.994,150,-8.80901,0.0391332,-2.59156,0.0445091,-10.2405,0.0522711
427109273436687,750,274.994,150,-8.70139,0.039553,-2.66978,0.055108,-10.2392,0.0456878
427164413439140,0,280,150,-9.15565,0.0319495,-3.35356,0.042732,-9.97643,0.0512585
427171449438386,50,280,150,-9.17959,0.0372257,-3.45485,0.0514283,-9.99938,0.0592085
427178485439672,100,280,150,-9.1623,0.0360339,-3.59963,0.0552717,-9.94965,0.0536874
427185521436458,150,280,150,-9.15104,0.0390349,-3.68072,0.0524486,-10.0184,0.0640935
427192557439028,200,280,150,-9.16692,0.0374089,-3.80236,0.0476021,-10.1068,0.0477381
427199593438562,250,280,150,-9.1916,0.0381839,-3.81789,0.0579051,-10.272,0.0525982
427206629439128,300,280,150,-9.26335,0.0327375,-3.65805,0.050898,-10.5242,0.0434888
427213665439814,350,280,150,-9.28087,0.0411163,-3.51743,0.04874,-10.7911,0.0470882
427220701439588,400,280,150,-9.27786,0.0439376,-3.08593,0.0492979,-10.9842,0.0564433
427227737438197,450,280,150,-9.29276,0.0367156,-2.64106,0.0455179,-11.0757,0.0582864
427234773439219,500,280,150,-9.28138,0.0339516,-2.29424,0.0598007,-10.9064,0.0521618
427241809439557,550,280,150,-9.11196,0.0328406,-2.04352,0.0426452,-10.6581,0.059777
427248845439475,600,280,150,-8.95776,0.0355331,-2.12341,0.0530751,-10.4015,0.0528575
427255881438085,650,280,150,-8.86838,0.0380857,-2.21723,0.0510677,-10.2439,0.0512395
427262917437319,700,280,150,-8.60661,0.0427832,-2.32556,0.0549,-10.0668,0.0601526
427269953438725,750,280,150,-8.53762,0.0452405,-2.50692,0.0583125,-10.063,0.0627631
427269953438725,750,280,150,-8.53762,0.0452405,-2.50692,0.0583125,-10.063,0.0627631


Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
427364175438490,150,289.993,150,-9.11037,0.045611,-3.56696,0.0495358,-9.93654,0.0752106
427371211437040,200,289.993,150,-9.0515,0.0420215,-3.56184,0.0472964,-10.0641,0.0583048
427378247437185,250,289.993,150,-9.02771,0.041305,-3.58195,0.0498661,-10.178,0.0610017
427385283438351,300,289.993,150,-9.06127,0.044804,-3.45076,0.0482587,-10.4059,0.0586023
427392319439709,350,289.993,150,-9.0222,0.0396301,-3.09285,0.0492564,-10.6273,0.0492147
427399355439807,400,289.993,150,-8.9038,0.0458762,-2.70076,0.0510161,-10.8273,0.0625775
427406391436929,450,289.993,150,-8.79231,0.0335582,-2.26957,0.0498971,-10.8113,0.0487117
427413427437243,500,289.993,150,-8.61064,0.0357489,-2.04802,0.050608,-10.6193,0.0528853
427420463437917,550,289.993,150,-8.441,0.0456891,-1.95412,0.0500522,-10.2346,0.0588035
427427499438603,600,289.993,150,-8.32403,0.0409792,-2.05264,0.0539809,-10.0589,0.0523236
427434535437321,650,289.993,150,-8.26049,0.0395808,-2.21205,0.0549111,-9.83966,0.0534269
427441571437179,700,289.993,150,-8.18901,0.0384183,-2.35291,0.0471804,-9.74347,0.050635
427448607437168,750,289.993,150,-8.12256,0.0392546,-2.43928,0.0480388,-9.61874,0.057263
427503749438985,0,299.995,150,-9.07375,0.0484193,-3.48315,0.0519688,-9.89409,0.0600322
427510785436671,50,299.995,150,-9.08329,0.038517,-3.45674,0.0458817,-9.88659,0.0601783
427517821438233,100,299.995,150,-9.03139,0.0385754,-3.47088,0.055916,-9.77619,0.059164
427517821438233,100,299.995,150,-9.03139,0.0385754,-3.47088,0.055916,-9.77619,0.059164


Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
427547907436420,100,299.995,150,-9.12899,0.0384621,-3.48877,0.0561525,-9.91105,0.0567167
427554943437790,150,299.995,150,-9.14854,0.0315669,-3.51248,0.0521846,-9.97937,0.0506788
427561979439496,200,299.995,150,-9.17787,0.0359248,-3.56624,0.0536887,-10.0008,0.0522674
